01 Altstadt,297,361,357,385,371,360
02 Neustadt,574,663,676,734,735,745
03 Nordstadt,1842,1968,2028,2068,2111,2164
04 Westliche Höhe,1151,1205,1236,1265,1209,1241
05 Friesischer Berg,808,833,832,866,840,816
06 Weiche,1455,1531,1552,1518,1500,1533
07 Südstadt,500,558,614,581,573,591
08 Sandberg,548,572,588,616,649,657
09 Jürgensby,830,987,962,992,962,959
10 Fruerlund,901,1009,1042,1050,1061,1017
11 Mürwik,2074,2246,2288,2313,2350,2361
12 Engelsby,1438,1202,1219,1204,1194,1256
13 Tarup,969,1101,1127,1142,1181,1244
