01 Altstadt,2644,3039,3037,2988,2949,3093
02 Neustadt,3091,3680,3686,3660,3610,3736
03 Nordstadt,7282,8117,8127,8173,8234,8419
04 Westliche Höhe,4848,4871,4896,4817,4717,4784
05 Friesischer Berg,4519,4735,4577,4571,4509,4537
06 Weiche,4004,4400,4449,4481,4397,4455
07 Südstadt,2603,2797,2843,2865,2778,2900
08 Sandberg,4289,4821,4874,4984,4980,4983
09 Jürgensby,5484,5999,6081,5993,5922,5966
10 Fruerlund,3966,4145,4144,4221,4172,4133
11 Mürwik,8257,8303,8404,8627,8617,8554
12 Engelsby,4892,4674,4691,4589,4575,4568
13 Tarup,2464,2887,3027,3166,3318,3442
