01 Altstadt,382,407,421,420,419,413
02 Neustadt,374,355,368,376,380,369
03 Nordstadt,1720,1910,1918,1919,1946,1942
04 Westliche Höhe,1885,1966,1951,1952,1958,1990
05 Friesischer Berg,1.3066,1268,1267,1259,1296,1291
06 Weiche,1154,1419,1430,1436,1453,1484
07 Südstadt,857°,724,709,724,714,714
08 Sandberg,1112,1120,1121,1.4131,1100,1062
09 Jürgensby,1447,1376,1388,1439,1441,1446
10 Fruerlund,1375,1600,1593,1638,1647,1.64
11 Mürwik,3926,4187,4233,4269,4311,4386
12 Engelsby,1499,1672,1671,1.69,1699,1712
13 Tarup,682,739,755,789,848,910
